"Borrado";"Favorito";"Fecha";"Fuente";"Texto";"Enlace";"Marca";"Usuario";"Oficial";"Opinion";"Categoria";"Tags";"Impacto"
"false";"false";"2020-05-02 06:30:19";"twitter";"RT: #EarthChallenge2020 is empowering citizen science across the globe! By taking photos and submitting them to data sets, you can help develop research in two areas of environmental study: #plasticpollution & #airquality. \n Learn more: \n @EarthDayNetwork https://t.co/Rcrr0ictSW";"null";"Citizen science All World";"9a47271916f8dcef8fdf5c7c7bbd3cfe";"false";"0";"";"";"56,37"
"false";"false";"2020-05-02 06:32:06";"twitter";"RT: Also - take part in the newly created global #CitizenScience project using your mobile phone to record the global #DawnChorus from your front door! \n See https://t.co/kt8RxL72ix \n #birds #birding @BiotopiaMuseum #birdingathome";"null";"Citizen science All World";"777f9ff7df4e69faf09867bff03d632b";"false";"0";"";"";"39,54"
"false";"false";"2020-05-02 06:18:13";"twitter";"RT: @faliqfahmie Something is fishy with his ?citizen scientists? picture. Even me myself involved with NASA?s Planet Hunter TESS mission and SOHO & STEREO satellite?s Sungrazer Comets mission as a part of Citizen Science pon x keluar dlm page NASA ? also, you don?t need CS title to be involved.";"null";"Citizen science All World";"29cc01d0ec55f59f53096e211541d62a";"false";"-16,67";"";"";"42,78"
"false";"false";"2020-05-02 06:18:02";"twitter";"Since there?s no more covid around here to report on, might as well put us on the front page for hanging out in the local national park, checking to see if the creek had started to flow (and logging observations for the city nature challenge). #CitizenScience https://t.co/OxWbXKguTM";"null";"Citizen science All World";"e73ea4a947a1e3954857737e06c6fa50";"false";"-33,33";"";"";"33,87"
"false";"false";"2020-05-02 06:19:45";"twitter";"RT: @faliqfahmie Something is fishy with his ?citizen scientists? picture. Even me myself involved with NASA?s Planet Hunter TESS mission and SOHO & STEREO satellite?s Sungrazer Comets mission as a part of Citizen Science pon x keluar dlm page NASA ? also, you don?t need CS title to be involved.";"null";"Citizen science All World";"f745e7b7588eea0223c65e195709bc55";"false";"-16,67";"";"";"36,84"
"false";"false";"2020-05-02 06:22:00";"twitter";"ok that Azhar Ali kid is no where to be found ?? \n \n https://t.co/7pebJVwsuA \n \n https://t.co/yca0BLiYKV";"null";"Citizen science All World";"b281933fa28a70b5e97c24dd1f159935";"false";"0";"";"";"32,36"
"false";"false";"2020-05-02 08:02:13";"twitter";"RT: Remember that you can also view all of your own records on the Citizen Science Portal by clicking on the following link - https://t.co/kCcKjIZyMQ";"null";"Citizen science EU";"342b5538767b071f64b88bbf381db84c";"false";"0";"";"";"39,43"
"false";"false";"2020-05-02 08:02:13";"twitter";"RT: Remember that you can also view all of your own records on the Citizen Science Portal by clicking on the following link - https://t.co/kCcKjIZyMQ";"null";"Citizen science All World";"342b5538767b071f64b88bbf381db84c";"false";"0";"";"";"39,43"
"false";"false";"2020-05-02 08:02:27";"twitter";"RT: @faliqfahmie Something is fishy with his ?citizen scientists? picture. Even me myself involved with NASA?s Planet Hunter TESS mission and SOHO & STEREO satellite?s Sungrazer Comets mission as a part of Citizen Science pon x keluar dlm page NASA ? also, you don?t need CS title to be involved.";"null";"Citizen science All World";"832dd95968bcdf0b14ee298a29b7fa00";"false";"-16,67";"";"";"34,46"
"false";"false";"2020-05-02 07:58:26";"twitter";"RT: Please follow @BeesCount - The World Bee Count. On May 1st a brand new mobile application is going to be launched as a part of digital global #citizenscience and #pollinator awareness #movement that aims to make #beescount! https://t.co/quIJauOmjr https://t.co/RwNwqicFjX";"null";"Citizen science All World";"f9a82b4be1707203bb87455b539779e5";"false";"0";"";"";"4,16"
"false";"false";"2020-05-02 07:58:28";"twitter";"RT: Can you help us build an urban canopy cover map for Britain? \n \n @Forest_Research?s Citizen Science project map is now 30% complete. Help us finish it! Feel free to share ? @KieronDoickFR https://t.co/Dp9nzR0tE4 https://t.co/LdW6UEq5ya";"null";"Citizen science All World";"6313f4ef1f3ce4de3336ec7b710f88d6";"false";"0";"";"";"26,93"
"false";"false";"2020-05-02 07:58:28";"twitter";"RT: Can you help us build an urban canopy cover map for Britain? \n \n @Forest_Research?s Citizen Science project map is now 30% complete. Help us finish it! Feel free to share ? @KieronDoickFR https://t.co/Dp9nzR0tE4 https://t.co/LdW6UEq5ya";"null";"Citizen science EU";"6313f4ef1f3ce4de3336ec7b710f88d6";"false";"0";"";"";"26,93"
"false";"false";"2020-05-02 08:01:20";"twitter";"RT: @faliqfahmie Something is fishy with his ?citizen scientists? picture. Even me myself involved with NASA?s Planet Hunter TESS mission and SOHO & STEREO satellite?s Sungrazer Comets mission as a part of Citizen Science pon x keluar dlm page NASA ? also, you don?t need CS title to be involved.";"null";"Citizen science All World";"e9181c340267c2f2645bd1bcef4537ab";"false";"-16,67";"";"";"40,93"
"false";"false";"2020-05-02 08:01:30";"twitter";"@Daubeneyfields @grassroofco @jonburkeUK Well I am an amateur entomologist too so wouldn?t mind helping ? I could come with nets and traps, but I think it would be best to have an element of citizen science - maybe a workshop and then encouraging people to take and share photos of what they see?";"null";"Citizen science All World";"97fb179586439a3336cebcf61182385b";"false";"66,67";"";"";"47,83"
"false";"false";"2020-05-02 07:59:44";"twitter";"RT: Using citizen science data collected from over 4000 dogs: all breeds, regardless of size or lifespan, tend to follow similar cognitive aging trajectories. This means that larger dogs, with often shorter lifespans, may experience limited cognitive decline. https://t.co/Er6XPTqh9N";"null";"Citizen science EU";"708c03de371764d2ddd69a07f0f23794";"false";"-33,33";"";"";"33,06"
"false";"false";"2020-05-02 07:59:44";"twitter";"RT: Using citizen science data collected from over 4000 dogs: all breeds, regardless of size or lifespan, tend to follow similar cognitive aging trajectories. This means that larger dogs, with often shorter lifespans, may experience limited cognitive decline. https://t.co/Er6XPTqh9N";"null";"Citizen science All World";"708c03de371764d2ddd69a07f0f23794";"false";"-33,33";"";"";"33,06"
"false";"false";"2020-05-02 07:53:56";"twitter";"RT: Also - take part in the newly created global #CitizenScience project using your mobile phone to record the global #DawnChorus from your front door! \n See https://t.co/kt8RxL72ix \n #birds #birding @BiotopiaMuseum #birdingathome";"null";"Citizen science All World";"a4ddbc1bf95795a458b18b101d53d187";"false";"0";"";"";"59,84"
"false";"false";"2020-05-02 07:57:07";"twitter";"RT: #EveryFlowerCounts #citizenscience survey finds over 200 species flowering on lawns including rarities such as meadow saxifrage, knotted clover and eyebright. What can you find this May? https://t.co/MyPqp2JyZr https://t.co/0YvYbH5alr";"null";"Citizen science EU";"c41809dc0a74f0c0b29306b3da403c66";"false";"0";"";"";"21,67"
"false";"false";"2020-05-02 07:57:07";"twitter";"RT: #EveryFlowerCounts #citizenscience survey finds over 200 species flowering on lawns including rarities such as meadow saxifrage, knotted clover and eyebright. What can you find this May? https://t.co/MyPqp2JyZr https://t.co/0YvYbH5alr";"null";"Citizen science All World";"c41809dc0a74f0c0b29306b3da403c66";"false";"0";"";"";"21,67"
"false";"false";"2020-05-02 08:01:01";"twitter";"Charlie the Champion Dolphin Watcher?.he knew where the dolphins were before we did! . \n . \n In 2011 Charlie, the Jack Russell was truly a delight and a great help, joining a number of #citizenscience surveys on? https://t.co/88Qv2XNmfD";"null";"Citizen science All World";"5599e0358d5d25069f5a20ed4c70d8c7";"false";"100";"";"";"30,56"
"false";"false";"2020-05-02 07:50:08";"twitter";"BBC Inside Science - Testing for immunity to COVID-19 and Citizen science on BBC Radio past and present - BBC Sounds https://t.co/uwhlCknHTK";"null";"Citizen science All World";"140ae32a0804ac1cc3412b7b949fe780";"false";"0";"";"";"35,42"
"false";"false";"2020-05-02 07:51:37";"twitter";"That kid kalau betul dapat NASA Scholars tak takut ke kalau NASA tarik balik scholars sebab tiada etika edit gambar sendiri guna logo NASA ?????";"null";"Citizen science All World";"228a4cd2d913550355a1752cea8e6b06";"false";"0";"";"";"42,02"
"false";"false";"2020-05-02 08:31:29";"twitter";"RT: #CitizenScience research undertaken by #EveryFlowerCounts participants reveals that the average lawn produces 12 grams of nectar sugar per day, enough to support 1088 honeybees https://t.co/mI6M0d8rKX #NoMowMay https://t.co/YCbbyV73iA";"null";"Citizen science All World";"31de76572ba3bb972fd4247de33089de";"false";"0";"";"";"43,42"
"false";"false";"2020-05-02 08:31:48";"twitter";"@HarvillsH anyone able to get their kids to tell a story and be part of this citizen science project?";"null";"Citizen science All World";"aa8b8aaa92166325e85ebee6818b70e8";"false";"33,33";"";"";"42,05"
"false";"false";"2020-05-02 08:27:32";"twitter";"RT: Since the outbreak of #COVID19 our @WecountH #CitizenScience project has been recording a clear trend of decreasing #CarTraffic and increasing recreational traffic cycling. Read more here: https://t.co/pzzToQbn1Y @WecountC @SciCommsUWE https://t.co/UoX0fTo8SS";"null";"Citizen science EU";"3989cab94ca2873ec3cbe05ca84b0631";"false";"-33,33";"";"";"35,74"
"false";"false";"2020-05-02 08:27:32";"twitter";"RT: Since the outbreak of #COVID19 our @WecountH #CitizenScience project has been recording a clear trend of decreasing #CarTraffic and increasing recreational traffic cycling. Read more here: https://t.co/pzzToQbn1Y @WecountC @SciCommsUWE https://t.co/UoX0fTo8SS";"null";"Citizen science All World";"3989cab94ca2873ec3cbe05ca84b0631";"false";"-33,33";"";"";"35,74"
"false";"false";"2020-05-02 08:27:37";"twitter";"RT: We have a new video update from the scientists behind Foldit! \n \n ? Research updates ? \n ? New puzzles (COVID)? \n ? A happy lab accident ? \n \n WATCH: https://t.co/rBot9QNIc4 \n \n #CitizenScience #CitSci https://t.co/YcFHxzn12p";"null";"Citizen science All World";"e14d3d462cc1a0c57298225c961084b2";"false";"33,33";"";"";"40,04"
"false";"false";"2020-05-02 08:28:35";"twitter";"@HelenAnnetts one for a home schooling day? Can you help?";"null";"Citizen science All World";"aa8b8aaa92166325e85ebee6818b70e8";"false";"0";"";"";"42,05"
"false";"false";"2020-05-02 08:28:59";"twitter";"Thanks to projects like #TreeBodyguards and people like @BCastagneyrol leading them, the future generations? empowerment as #CitizenScientists is on! Via the @FondationBNPP & our #ClimateBiodiversity Initiative, I?m proud to support such an innovative, motivated and fun project!";"null";"Citizen science EU";"bfcf6a2aa8ab88585301dd35a4ac4b60";"false";"66,67";"";"";"10,75"
"false";"false";"2020-05-02 08:28:59";"twitter";"Thanks to projects like #TreeBodyguards and people like @BCastagneyrol leading them, the future generations? empowerment as #CitizenScientists is on! Via the @FondationBNPP & our #ClimateBiodiversity Initiative, I?m proud to support such an innovative, motivated and fun project!";"null";"Citizen science All World";"bfcf6a2aa8ab88585301dd35a4ac4b60";"false";"66,67";"";"";"10,75"
"false";"false";"2020-05-02 08:30:57";"twitter";"RT: Also - take part in the newly created global #CitizenScience project using your mobile phone to record the global #DawnChorus from your front door! \n See https://t.co/kt8RxL72ix \n #birds #birding @BiotopiaMuseum #birdingathome";"null";"Citizen science All World";"1667ab36ccbc9191d171fb7945cb1ded";"false";"0";"";"";"44,19"
"false";"false";"2020-05-02 08:34:01";"twitter";"RT: #LoMásLeído en Medio Ambiente: La ciencia ciudadana no para: desde sus ventanas, aficionados avistan 2.146 especies. \n https://t.co/TaUCscI3ZJ https://t.co/7iEP9dFzWx";"null";"Citizen science All World";"7b4c65568e2e120cba87c02f4ef72299";"false";"0";"";"";"20,41"
"false";"false";"2020-05-02 08:40:52";"twitter";"RT: Can you help us build an urban canopy cover map for Britain? \n \n @Forest_Research?s Citizen Science project map is now 30% complete. Help us finish it! Feel free to share ? @KieronDoickFR https://t.co/Dp9nzR0tE4 https://t.co/LdW6UEq5ya";"null";"Citizen science All World";"48e1959fa1d9a591a85c84cf0b6676fc";"false";"0";"";"";"32,33"
"false";"false";"2020-05-02 08:32:55";"twitter";"RT: #mozziemonitors project on #inaturalist has unique observations shared by citizen scientists. These observations are very important to our knowledge of #mosquito fauna. Aedes australis. (c) Stephen Fricker, all rights reserved. Observed on Jan 23 2015 SA. \n #citizenscience #wildoz https://t.co/oVOgdrzxpP";"null";"Citizen science EU";"b8027a75d29fc85af8b5a21ce3a9d5ed";"false";"16,67";"";"";"33,83"
